#time       #addressInBinary #r/w       
<<<<<<< HEAD
1         	0001101111	w         
2         	1100000011	r         
3         	1001111100	r         
4         	1111110010	r         
5         	1100011010	w         
6         	1110101111	r         
7         	0000111100	r         
8         	1001011010	r         
9         	0001110111	r         
10        	1101001010	w         
=======
1         	1111001011	w         
2         	1110111000	r         
3         	0011100000	r         
4         	0100100101	w         
5         	0100001010	r         
6         	1011111001	w         
7         	0010010001	r         
8         	1111111011	w         
9         	0110100111	w         
10        	0101111000	w         
>>>>>>> ef92eeb250917d868d67b88b9a4435e276ba0747
